Age,Work Class,Education,Marital Status,Height (cm),Number of Siblings,Occupation,Relatioship,Race,Gender,Hours Per Week,Country,Income Per Annum
29, State-gov, Bachelors, Married-civ-spouse,168,1, Prof-specialty, Husband, White, Male,50, United-States,69773
19, Private, Some-college, Never-married,154,4, Other-service, Own-child, Black, Male,35, United-States,27016
47, Private, Bachelors, Married-civ-spouse,184,3, Exec-managerial, Wife, White, Female,40, United-States,135778
20, Private, Some-college, Never-married,183,0, Adm-clerical, Own-child, White, Female,28, United-States,42505
31, Private, Assoc-acdm, Married-civ-spouse,174,5, Adm-clerical, Husband, White, Male,40, United-States,168782
35, ?, HS-grad, Married-civ-spouse,165,2, ?, Husband, White, Male,40, United-States,38771
39, Private, Some-college, Divorced,163,0, Craft-repair, Not-in-family, White, Male,40, United-States,31518
28, Private, Assoc-acdm, Never-married,195,3, Sales, Not-in-family, White, Female,60, United-States,25403
24, Private, HS-grad, Never-married,191,0, Other-service, Not-in-family, White, Female,40, United-States,43082
38, Self-emp-not-inc, HS-grad, Married-civ-spouse,194,5, Craft-repair, Husband, White, Male,35, United-States,39010
37, Private, Bachelors, Married-civ-spouse,172,5, Sales, Husband, White, Male,50, United-States,20035
46, Private, Assoc-acdm, Divorced,154,4, Tech-support, Not-in-family, Black, Female,36, United-States,35787
38, Federal-gov, Masters, Married-civ-spouse,160,3, Prof-specialty, Husband, White, Male,40, Iran,176725
43, Self-emp-not-inc, HS-grad, Married-civ-spouse,156,3, Craft-repair, Husband, White, Male,60, United-States,47850
27, Private, Assoc-voc, Married-civ-spouse,178,4, Adm-clerical, Wife, White, Female,35, United-States,47874
20, Private, Some-college, Never-married,163,5, Sales, Own-child, White, Male,20, United-States,34044
49, Private, Some-college, Married-civ-spouse,199,0, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States,58502
61, Self-emp-inc, HS-grad, Married-civ-spouse,160,2, Craft-repair, Husband, White, Male,40, United-States,48880
27, Private, Some-college, Never-married,184,4, Sales, Own-child, White, Female,40, United-States,23869
19, Private, Some-college, Never-married,195,0, Other-service, Own-child, White, Male,30, Mexico,27734
45, Private, Assoc-voc, Never-married,147,5, Prof-specialty, Not-in-family, White, Female,40, United-States,154857
70, Private, Some-college, Never-married,160,5, Tech-support, Other-relative, White, Male,40, United-States,25527
31, Private, HS-grad, Never-married,185,4, Transport-moving, Unmarried, Black, Female,30, United-States,40622
22, Private, Some-college, Married-civ-spouse,155,1, Other-service, Husband, White, Male,24, United-States,41930
36, Private, HS-grad, Widowed,181,3, Other-service, Unmarried, White, Female,24, United-States,33339
64, Private, 11th, Married-civ-spouse,191,6, Craft-repair, Husband, White, Male,40, United-States,36435
43, ?, Some-college, Divorced,165,6, ?, Not-in-family, White, Female,40, United-States,26495
47, Local-gov, Some-college, Divorced,170,0, Adm-clerical, Unmarried, White, Female,38, Mexico,45113
34, Private, HS-grad, Never-married,148,4, Adm-clerical, Not-in-family, White, Female,40, United-States,49758
33, Private, Bachelors, Never-married,156,5, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,40, Philippines,33591
21, Private, HS-grad, Never-married,146,3, Craft-repair, Own-child, White, Male,35, United-States,31192
52, ?, HS-grad, Divorced,171,6, ?, Not-in-family, White, Male,45, United-States,150909
48, Private, HS-grad, Married-civ-spouse,197,3, Craft-repair, Husband, White, Male,46, United-States,41695
23, Private, Bachelors, Never-married,172,5, Handlers-cleaners, Not-in-family, White, Male,40, United-States,24106
71, Self-emp-not-inc, Some-college, Separated,156,4, Sales, Unmarried, Black, Male,2, United-States,37597
29, Private, HS-grad, Divorced,194,5, Craft-repair, Not-in-family, White, Male,60, United-States,38368
42, Private, Bachelors, Separated,176,1, Other-service, Other-relative, Black, Male,50, United-States,41928
68, ?, 1st-4th, Divorced,189,6, ?, Not-in-family, White, Female,20, United-States,29187
25, Private, HS-grad, Never-married,193,1, Other-service, Unmarried, White, Female,40, United-States,23979
44, Self-emp-inc, Masters, Divorced,193,4, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,40, United-States,36999
28, Private, HS-grad, Never-married,150,2, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,40, England,43590
45, Self-emp-not-inc, Masters, Married-civ-spouse,179,1, Sales, Husband, White, Male,40, United-States,196077
36, Private, Some-college, Divorced,183,5, Other-service, Unmarried, White, Female,40, Mexico,47755
39, Federal-gov, Assoc-acdm, Never-married,166,3, Exec-managerial, Not-in-family, White, Male,42, United-States,45958
46, State-gov, Masters, Widowed,172,3, Protective-serv, Unmarried, White, Male,40, United-States,30199
18, Private, 11th, Never-married,184,5, Handlers-cleaners, Own-child, White, Male,16, United-States,43327
66, Local-gov, Assoc-voc, Widowed,174,5, Prof-specialty, Not-in-family, White, Female,20, United-States,22472
27, Private, HS-grad, Never-married,188,6, Other-service, Not-in-family, White, Male,40, United-States,23235
28, State-gov, HS-grad, Married-civ-spouse,151,3, Protective-serv, Husband, White, Male,40, United-States,29879
51, Private, Some-college, Married-civ-spouse,152,1, Sales, Husband, White, Male,40, United-States,60242
27, Private, Bachelors, Never-married,176,0, Craft-repair, Not-in-family, White, Male,50, United-States,31940
28, State-gov, Bachelors, Married-civ-spouse,157,2, Prof-specialty, Husband, White, Male,40, United-States,173810
27, Private, HS-grad, Married-spouse-absent,186,0, Sales, Unmarried, White, Female,25, United-States,20057
21, Private, HS-grad, Never-married,148,3, Craft-repair, Own-child, Black, Male,40, United-States,45116
34, Private, HS-grad, Never-married,186,3, Handlers-cleaners, Not-in-family, Black, Male,40, United-States,41459
18, Private, HS-grad, Never-married,145,1, Other-service, Own-child, White, Male,12, United-States,20320
33, Private, Bachelors, Married-civ-spouse,172,6, Prof-specialty, Husband, White, Male,65, United-States,28473
44, Local-gov, Some-college, Married-civ-spouse,156,2, Exec-managerial, Husband, Black, Male,38, United-States,156864
43, Private, Some-college, Divorced,195,1, Adm-clerical, Not-in-family, White, Female,40, United-States,22032
30, Private, Some-college, Never-married,163,1, Craft-repair, Not-in-family, Black, Male,45, United-States,34668
40, Private, 7th-8th, Married-civ-spouse,177,6, Machine-op-inspct, Husband, White, Male,40, Mexico,101814
37, Federal-gov, Some-college, Married-civ-spouse,184,5, Adm-clerical, Husband, White, Male,42, United-States,150147
34, Private, HS-grad, Married-civ-spouse,174,3, Adm-clerical, Husband, Black, Male,40, United-States,23958
41, Self-emp-not-inc, Bachelors, Divorced,194,6, Exec-managerial, Not-in-family, White, Female,40, United-States,25966
53, ?, Bachelors, Divorced,160,4, ?, Not-in-family, White, Female,50, United-States,21289
31, Private, Masters, Married-civ-spouse,153,6, Prof-specialty, Wife, White, Female,50, United-States,43762
58, State-gov, Doctorate, Married-civ-spouse,166,1, Prof-specialty, Husband, White, Male,1, United-States,53786
38, Private, Some-college, Divorced,167,6, Machine-op-inspct, Not-in-family, Black, Female,28, United-States,39488
24, Private, Some-college, Married-civ-spouse,154,4, Machine-op-inspct, Husband, White, Male,40, United-States,37166
41, Local-gov, Bachelors, Married-civ-spouse,155,2, Craft-repair, Husband, Black, Male,40, United-States,35246
47, Private, Some-college, Married-civ-spouse,146,5, Tech-support, Husband, White, Male,45, United-States,24676
41, Federal-gov, Bachelors, Married-civ-spouse,195,1, Tech-support, Husband, White, Male,24, United-States,47460
23, Private, 5th-6th, Married-civ-spouse,162,0, Transport-moving, Other-relative, White, Male,40, Mexico,28198
36, Private, Some-college, Divorced,165,5, Craft-repair, Not-in-family, White, Male,40, United-States,47823
40, Federal-gov, Masters, Never-married,192,5, Exec-managerial, Not-in-family, White, Female,55, United-States,154630
35, Private, Masters, Married-civ-spouse,189,3, Prof-specialty, Other-relative, White, Male,40, United-States,72618
24, Self-emp-not-inc, HS-grad, Never-married,180,4, Sales, Not-in-family, White, Male,40, United-States,27759
26, Private, Masters, Never-married,172,3, Prof-specialty, Not-in-family, White, Female,40, United-States,38625
19, ?, HS-grad, Never-married,179,5, ?, Own-child, White, Male,40, Italy,32444
51, Private, Bachelors, Married-civ-spouse,173,6, Exec-managerial, Husband, White, Male,50, United-States,52229
42, Local-gov, Some-college, Never-married,171,2, Prof-specialty, Not-in-family, White, Female,40, United-States,34703
37, State-gov, HS-grad, Divorced,158,4, Adm-clerical, Unmarried, White, Female,35, United-States,44380
18, Private, 11th, Never-married,167,5, Sales, Own-child, White, Female,40, United-States,30547
36, Private, Bachelors, Married-civ-spouse,181,3, Other-service, Husband, Black, Male,36, United-States,167180
35, Private, HS-grad, Divorced,188,0, Craft-repair, Not-in-family, White, Male,60, United-States,37226
58, Self-emp-inc, HS-grad, Married-civ-spouse,157,5, Sales, Wife, White, Female,35, United-States,129042
17, Private, 11th, Never-married,171,4, Sales, Own-child, White, Female,12, United-States,31004
44, Local-gov, HS-grad, Married-civ-spouse,149,3, Transport-moving, Husband, Black, Male,40, United-States,35098
37, Private, HS-grad, Married-civ-spouse,152,6, Craft-repair, Husband, White, Male,40, United-States,138107
35, Private, Some-college, Never-married,150,2, Sales, Not-in-family, Amer-Indian-Eskimo, Female,40, United-States,37104
60, Private, HS-grad, Married-civ-spouse,167,1, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States,39371
54, Self-emp-inc, 7th-8th, Married-civ-spouse,146,6, Machine-op-inspct, Husband, White, Male,40, United-States,125435
37, Private, Bachelors, Never-married,153,3, Exec-managerial, Not-in-family, Black, Male,60, United-States,172741
50, Private, Assoc-acdm, Divorced,177,3, Sales, Not-in-family, White, Female,40, United-States,24297
38, Private, Bachelors, Married-civ-spouse,188,0, Sales, Husband, White, Male,50, Poland,29547
45, Private, Bachelors, Married-civ-spouse,167,5, Prof-specialty, Husband, White, Male,55, United-States,24203
25, Private, 10th, Never-married,149,2, Craft-repair, Not-in-family, White, Male,40, United-States,37629
31, Private, Some-college, Married-civ-spouse,190,5, Handlers-cleaners, Husband, White, Male,40, United-States,40175
64, ?, 1st-4th, Divorced,179,0, ?, Not-in-family, White, Male,40, United-States,47825
90, Private, HS-grad, Never-married,179,1, Other-service, Not-in-family, Black, Male,40, United-States,20830
54, Private, HS-grad, Married-civ-spouse,193,5, Adm-clerical, Husband, Black, Male,20, United-States,43084
53, Local-gov, Preschool, Never-married,157,1, Machine-op-inspct, Not-in-family, White, Female,35, United-States,28797
18, Private, HS-grad, Never-married,154,6, Sales, Own-child, White, Female,40, United-States,27208
60, ?, 10th, Divorced,195,1, ?, Not-in-family, Amer-Indian-Eskimo, Female,10, United-States,39944
66, Self-emp-not-inc, HS-grad, Married-civ-spouse,145,2, Farming-fishing, Husband, White, Male,50, United-States,22235
75, Private, Assoc-voc, Widowed,151,3, Adm-clerical, Not-in-family, White, Female,20, Columbia,25738
65, Private, HS-grad, Divorced,154,5, Adm-clerical, Not-in-family, White, Female,40, United-States,34857
35, Private, 11th, Separated,183,6, Transport-moving, Not-in-family, Black, Male,40, United-States,31769
41, Private, HS-grad, Divorced,161,6, Sales, Unmarried, Black, Female,38, United-States,44754
25, Private, Some-college, Never-married,178,1, Adm-clerical, Not-in-family, White, Male,42, United-States,20485
33, Private, Some-college, Divorced,169,2, Craft-repair, Other-relative, Other, Female,40, United-States,31508
28, Private, Prof-school, Never-married,148,0, Prof-specialty, Not-in-family, White, Male,55, United-States,124324
59, State-gov, HS-grad, Married-civ-spouse,155,2, Other-service, Husband, White, Male,40, United-States,23355
40, State-gov, Some-college, Never-married,152,1, Adm-clerical, Not-in-family, White, Female,38, United-States,26696
41, Private, Bachelors, Married-civ-spouse,153,3, Exec-managerial, Husband, White, Male,50, Iran,104212
38, Local-gov, Masters, Married-civ-spouse,153,0, Exec-managerial, Husband, White, Male,70, United-States,117175
23, Private, HS-grad, Never-married,158,0, Transport-moving, Own-child, White, Male,40, United-States,27483
40, Private, Bachelors, Married-civ-spouse,163,4, Prof-specialty, Husband, White, Male,40, United-States,121267
41, Self-emp-not-inc, HS-grad, Married-civ-spouse,186,4, Other-service, Wife, White, Female,20, United-States,39829
24, State-gov, Assoc-acdm, Married-civ-spouse,150,2, Protective-serv, Husband, White, Male,50, United-States,38589
20, ?, Some-college, Never-married,178,3, ?, Own-child, White, Male,20, United-States,21524
38, Private, Some-college, Divorced,193,5, Craft-repair, Not-in-family, White, Male,40, United-States,25902
56, Private, HS-grad, Married-civ-spouse,182,5, Adm-clerical, Husband, White, Male,35, ?,26650
58, Private, HS-grad, Married-civ-spouse,198,6, Adm-clerical, Husband, White, Male,45, United-States,57222
32, Private, HS-grad, Never-married,192,1, Other-service, Not-in-family, White, Female,34, United-States,47495
40, Private, Assoc-acdm, Married-civ-spouse,156,1, Tech-support, Husband, White, Male,60, United-States,145510
45, Private, HS-grad, Married-civ-spouse,194,5, Adm-clerical, Husband, White, Male,40, ?,43207
41, Private, Prof-school, Married-civ-spouse,172,2, Prof-specialty, Wife, White, Female,40, United-States,82514
42, Private, Bachelors, Married-civ-spouse,156,4, Adm-clerical, Wife, Black, Female,40, United-States,26702
59, Local-gov, 10th, Widowed,200,0, Other-service, Unmarried, Black, Female,30, United-States,33187
19, Local-gov, Some-college, Never-married,191,3, Adm-clerical, Own-child, White, Male,40, United-States,28058
58, Private, Some-college, Never-married,165,6, Transport-moving, Not-in-family, White, Male,20, United-States,30763
42, Self-emp-not-inc, HS-grad, Married-civ-spouse,158,2, Farming-fishing, Husband, Asian-Pac-Islander, Male,40, Cambodia,90453
20, Private, HS-grad, Never-married,172,5, Other-service, Own-child, White, Female,40, United-States,35185
32, Private, HS-grad, Separated,150,3, Other-service, Not-in-family, White, Female,30, United-States,24813
45, Private, Assoc-voc, Widowed,157,5, Exec-managerial, Not-in-family, White, Female,45, United-States,38861
50, Private, 7th-8th, Divorced,189,1, Craft-repair, Not-in-family, White, Male,40, United-States,20146
36, Private, Bachelors, Divorced,161,6, Prof-specialty, Own-child, White, Female,40, United-States,42344
45, Private, HS-grad, Married-civ-spouse,163,5, Sales, Husband, White, Male,60, United-States,31363
17, Private, 11th, Never-married,197,2, Other-service, Own-child, White, Male,12, United-States,43797
59, Private, Some-college, Married-civ-spouse,147,0, Sales, Husband, White, Male,40, United-States,41908
26, Private, 11th, Married-civ-spouse,177,3, Craft-repair, Husband, White, Male,40, United-States,23867
37, Self-emp-inc, Some-college, Married-civ-spouse,150,0, Exec-managerial, Husband, Asian-Pac-Islander, Male,75, Thailand,119932
19, ?, Some-college, Never-married,155,5, ?, Own-child, White, Male,24, Canada,31608
64, Private, HS-grad, Married-civ-spouse,184,3, Exec-managerial, Husband, White, Male,40, United-States,112642
33, Private, Bachelors, Never-married,194,2, Prof-specialty, Not-in-family, White, Female,45, United-States,47838
33, Private, HS-grad, Married-civ-spouse,182,3, Craft-repair, Wife, White, Female,40, United-States,59356
61, Private, HS-grad, Married-civ-spouse,145,5, Exec-managerial, Husband, White, Male,40, United-States,51229
17, Private, 9th, Never-married,189,5, Other-service, Own-child, White, Male,24, United-States,42994
50, Self-emp-not-inc, Masters, Married-civ-spouse,165,5, Farming-fishing, Husband, White, Male,98, United-States,47276
27, Local-gov, Masters, Never-married,154,2, Prof-specialty, Own-child, White, Male,35, United-States,30405
30, Private, HS-grad, Divorced,155,4, Prof-specialty, Own-child, White, Female,40, United-States,45769
43, Private, HS-grad, Married-civ-spouse,150,6, Handlers-cleaners, Husband, Black, Male,40, United-States,32232
